,Time,Latitude,Longitude
0,1644722638,36.0322,-178.4286
1,1644722640,35.9698,-178.3427
2,1644722641,35.9073,-178.2568
3,1644722643,35.8447,-178.1712
4,1644722644,35.8030,-178.1141
5,1644722645,35.7403,-178.0287
6,1644722647,35.6776,-177.9434
7,1644722648,35.6148,-177.8582
8,1644722650,35.5519,-177.7732
9,1644723744,-17.7616,-133.2390
10,1644723804,-20.7106,-130.7683
11,1644723865,-23.6144,-128.1907
12,1644723926,-26.4639,-125.4864
13,1644723986,-29.2485,-122.6343
14,1644724047,-31.9791,-119.5852
15,1644724108,-34.5756,-116.3924
16,1644724168,-37.0887,-112.9535
17,1644724229,-39.4790,-109.2681
18,1644724289,-41.7267,-105.3117
19,1644724349,-43.7928,-101.0984
20,1644724410,-45.6874,-96.5419
21,1644724471,-47.3662,-91.6687
22,1644724531,-48.8016,-86.4845
23,1644724592,-49.9751,-80.9656
24,1644724653,-50.8426,-75.2447
25,1644724713,-51.3913,-69.3899
26,1644724774,-51.6166,-63.3809
27,1644724834,-51.5066,-57.3553
28,1644724895,-51.0643,-51.4067
29,1644724955,-50.3088,-45.6647
30,1644725016,-49.2457,-40.1010
31,1644725076,-47.9034,-34.8137
32,1644725137,-46.3085,-29.8314
33,1644725197,-44.4885,-25.1660
34,1644725258,-42.4703,-20.8138
35,1644725319,-40.2791,-16.7608
36,1644725379,-37.9580,-13.0171
37,1644725439,-35.4887,-9.4961
38,1644725500,-32.9088,-6.2052
39,1644725561,-30.2340,-3.1183
40,1644725621,-27.4785,-0.2106
41,1644725682,-24.6546,2.5410
42,1644725742,-21.7731,5.1586
43,1644725803,-18.8436,7.6624
44,1644725864,-15.8742,10.0713
45,1644725924,-12.8727,12.4027
46,1644725985,-9.8457,14.6731
47,1644726045,-6.8250,16.8797
48,1644726106,-3.7662,19.0737
49,1644726166,-0.7003,21.2508
50,1644726227,2.3675,23.4252
51,1644726287,5.4316,25.6108
52,1644726348,8.4864,27.8218
53,1644726408,11.5009,30.0541
54,1644726469,14.5195,32.3598
55,1644726529,17.5098,34.7365
56,1644726590,20.4651,37.2017
57,1644726651,23.3767,39.7733
58,1644726711,26.2355,42.4711
59,1644726772,29.0313,45.3168
60,1644726832,31.7523,48.3334
61,1644726892,34.3641,51.5185
62,1644726953,36.8940,54.9498
63,1644727014,39.3023,58.6280
64,1644727074,41.5696,62.5790
65,1644727135,43.6727,66.8249
66,1644727196,45.5869,71.3829
67,1644727256,47.2854,76.2617
68,1644727317,48.7400,81.4555
69,1644727377,49.9148,86.8974
70,1644727437,50.8039,92.6356
71,1644727498,51.3753,98.5642
72,1644727559,51.6143,104.6039
73,1644727619,51.5147,110.6626
74,1644727679,51.0839,116.5995
75,1644727740,50.3260,122.4279
76,1644727801,49.2618,128.0275
77,1644727861,47.9147,133.3494
78,1644727922,46.3123,138.3619
79,1644727982,44.4981,143.0168
80,1644728043,42.4695,147.3946
81,1644728103,40.2662,151.4695
82,1644728164,37.9118,155.2622
83,1644728224,35.4277,158.7966
84,1644728285,32.8325,162.0990
85,1644728345,30.1654,165.1704
86,1644728406,27.3953,168.0878
87,1644728466,24.5576,170.8475
88,1644728527,21.6627,173.4721
89,1644728588,18.7205,175.9819
90,1644728648,15.7396,178.3961
91,1644728709,12.7276,-179.2678
92,1644728769,9.6910,-176.9929
93,1644728829,6.6620,-174.7822
94,1644728890,3.5962,-172.5843
95,1644728951,0.5246,-170.4035
96,1644729011,-2.5474,-168.2255
97,1644729072,-5.6142,-166.0363
98,1644729132,-8.6701,-163.8217
99,1644729193,-11.7093,-161.5672
100,1644729254,-14.7256,-159.2576
